DRUG_COSMICID,pred_norm_cells_0,pred_norm_cells_1,pred_norm_cells_2,pred_norm_cells_3,pred_norm_cells_4,pred_norm_cells_5,pred_norm_cells_6,pred_norm_cells_7,pred_norm_cells_8,pred_norm_cells_9
41_946363,0.9999691,0.9454373,0.95428395,0.917061,0.9210564,0.9135049,0.75673383,0.36826232,0.2645834,0.23543927
41_906842,0.9999691,0.92845666,0.9044837,0.857675,0.87002844,0.8068461,0.58706445,0.2111726,0.12075224,0.09708206
41_908446,0.9999691,0.9281552,0.9819272,0.91478294,0.95100844,0.8717622,0.7908283,0.2913765,0.17058034,0.156656
45_906842,0.9999797,0.9407118,0.95186025,0.84077275,0.9474521,0.8187646,0.8018375,0.67296886,-0.0034036671,-0.0017127814
45_1327766,0.9999797,0.9434747,0.95219404,0.95468575,0.96608865,0.9441964,0.9356571,0.18516453,0.012679112,0.00061487296
45_907795,0.9999797,0.9592014,0.94878405,0.93602633,0.95718145,0.9266167,0.90949816,0.93355095,0.12475863,0.09826304
45_906831,0.9999797,0.92408556,0.8259996,0.8358018,0.8311378,0.78926104,0.7730704,0.47344244,0.030013882,-4.1587733e-05
53_909759,0.9999735,0.9497965,0.9580851,0.9275547,0.9338623,0.9183547,0.3926386,0.17388003,0.04808562,0.061151482
53_906832,0.9999735,0.92800754,0.82841456,0.8876259,0.74323094,0.5554266,0.72210723,0.41643605,0.20613864,0.12711565
53_1330987,0.9999735,0.92919606,0.92839855,0.90040433,0.76738715,0.694134,0.31014296,0.21165039,0.04884438,0.022190906
83_905938,0.99997693,0.9228617,0.88004005,0.7937279,0.6935765,0.5783936,0.46649525,0.40114066,0.3620224,0.36301345
83_949175,0.99997693,0.9448223,0.9065277,0.92735153,0.72722197,0.5864592,0.45762384,0.18934771,0.07717243,0.037589084
83_949177,0.99997693,0.9380762,0.8876977,0.8378835,0.50103277,0.28833282,0.16290683,0.049727608,0.035154644,0.028074868
83_949155,0.99997693,0.9485876,0.81069005,0.5301093,0.23400794,0.22275265,0.15269619,0.08871314,0.06276078,0.15670855
83_949154,0.99997693,0.9449083,0.90282124,0.60449624,0.43550703,0.5077779,0.38845867,0.30797732,0.19839951,0.18347019
83_910780,0.99997693,0.9493443,0.9336514,0.9552703,0.7637009,0.61714476,0.5680132,0.5208185,0.38632816,0.33739704
87_910710,0.99996924,0.94082594,0.930869,0.8822569,0.7866161,0.3470663,0.14162183,0.19321209,0.17751257,0.18251382
87_753605,0.99996924,0.9272262,0.9255315,0.9616529,0.77833277,0.2684986,0.12596454,0.093421504,0.09023958,0.077903375
87_753594,0.99996924,0.9315647,0.8923825,0.90635496,0.64371693,0.3314911,0.12802249,0.085477926,0.04553369,0.050175387
87_907272,0.99996924,0.94112873,0.8901712,0.88102907,0.38962096,0.15243942,0.18705112,0.2615453,0.24985033,0.22928837
88_1331049,0.9999801,0.92488176,0.8860899,0.62639904,0.7064432,0.47693238,0.08924623,0.04246437,0.01839729,0.020648615
88_909732,0.9999801,0.95513374,0.919659,0.6425102,0.82503176,0.7567204,0.63791656,0.48618516,0.2961666,0.27011856
88_905952,0.9999801,0.9746498,0.9740071,0.92990994,0.8610248,0.7436129,0.6439048,0.28620735,0.087848365,0.032938022
88_907783,0.9999801,0.9337204,0.92978585,0.86768204,0.8192666,0.75627995,0.6002321,0.2929,0.06126592,0.020884812
88_909975,0.9999801,0.9546258,0.8888173,0.79208,0.7087134,0.63936067,0.5839482,0.42575377,0.32884356,0.34957117
104_910697,0.9999652,0.92934763,0.8222222,0.78117186,0.7958458,0.24125665,0.060442526,-0.0051755793,-0.013854982,-0.0013844155
104_906872,0.9999652,0.92923707,0.8303739,0.88335097,0.9080613,0.48540667,0.10263024,0.018330174,0.028705439,0.024858236
104_908126,0.9999652,0.93363327,0.83536404,0.8788957,0.8412128,0.6563305,0.7930951,0.25067955,0.05001244,0.028550599
133_949163,0.9999793,0.9859394,0.8949146,0.76537925,0.73531085,0.5085481,0.21248545,0.12495821,0.07010965,0.023337834
133_907286,0.9999793,0.94281554,0.92449945,0.76921004,0.5617332,0.40331,0.39070484,0.15522851,0.055060845,0.030508593
133_905969,0.9999793,0.9306175,0.96742,0.70892,0.62420493,0.4983339,0.43624577,0.35902613,0.24146366,0.23518826
133_905952,0.9999793,0.9249592,0.8246159,0.5231312,0.32369897,0.06447138,0.021752229,0.03508132,0.030048504,0.022567904
133_906842,0.9999793,0.93028045,0.8243539,0.5221928,0.31403226,0.1466906,0.09567909,0.041687407,0.021834638,0.014846003
133_687794,0.9999793,0.943011,0.9514781,0.69597626,0.619788,0.45640984,0.38794002,0.18210088,0.105456404,0.080746375
133_907064,0.9999793,0.9307593,0.6216614,0.49753842,0.24609166,0.21620269,0.1783042,0.056161482,0.016246026,0.016639054
134_910688,0.9999824,0.93367994,0.7980923,0.624301,0.41493556,0.16675265,0.04394986,0.023572126,0.021334402,0.017680284
134_910849,0.9999824,0.94946206,0.9876438,0.96120757,0.8490552,0.7984022,0.626278,0.5151754,0.3913658,0.3314627
134_930082,0.9999824,0.93546,0.8405205,0.61892486,0.58358175,0.57849926,0.5072614,0.26739627,0.11834118,0.04951713
134_1330960,0.9999824,0.9461193,0.8549918,0.7483924,0.775769,0.5715869,0.27511427,0.1417688,0.16541645,0.123983786
134_906797,0.9999824,0.9267696,0.89496744,0.7619797,0.524916,0.18272647,0.09148149,0.054116137,0.04684686,0.031341247
134_908463,0.9999824,0.9619229,0.90495956,0.92474455,0.8174288,0.81285995,0.6775626,0.48429346,0.3695847,0.3324983
134_905979,0.9999824,0.93308187,0.5910285,0.84708494,0.51090074,0.589246,0.48244897,0.39545313,0.2532494,0.26932532
134_908126,0.9999824,0.9852389,0.9022055,0.88163996,0.87291694,0.78231406,0.5590543,0.3977308,0.36352772,0.31588817
134_906855,0.9999824,0.9414766,0.82453966,0.8168078,0.66863877,0.6110919,0.42662436,0.29789814,0.2273964,0.20442793
135_1298350,0.999978,0.92210126,0.5751994,0.22941203,0.17159352,0.09626615,0.11130827,0.09922035,0.10274368,0.0846348
135_907056,0.999978,0.9375456,0.8840434,0.65302056,0.4728789,0.38171348,0.35192063,0.37964222,0.363343,0.3420128
135_949088,0.999978,0.93031263,0.7632099,0.62877834,0.40318796,0.2970691,0.36443186,0.30141723,0.2500818,0.22378759
135_687561,0.999978,0.92246044,0.6684299,0.67640376,0.58756924,0.4582904,0.46845943,0.39988807,0.28754014,0.23990361
135_907044,0.999978,0.9308676,0.66402024,0.2241568,0.120727874,0.04277613,0.058299914,0.04287556,0.021885142,0.035248518
135_753563,0.999978,0.9367072,0.9434276,0.8584722,0.6285622,0.5484484,0.53590596,0.5017114,0.39618415,0.33774966
135_1330991,0.999978,0.943668,0.8747375,0.7682848,0.6329664,0.5591698,0.56680316,0.5019861,0.39389253,0.3758972
136_907280,0.9999809,0.92437845,0.90820944,0.8497342,0.76359504,0.5682081,0.35838494,0.1275381,0.047930505,0.022493828
136_908472,0.9999809,0.9684985,0.9877065,0.96184534,0.893487,0.8204583,0.64208496,0.12897477,0.08079365,0.08575924
136_688006,0.9999809,0.93984556,0.728017,0.37211388,0.43004942,0.29984367,0.24202612,0.11030617,0.057800133,0.030938916
136_906812,0.9999809,0.9355154,0.87225366,0.8410742,0.746702,0.59232205,0.38197857,0.15206772,0.04975015,0.030952236
136_906801,0.9999809,0.9229957,0.8201419,0.5557671,0.4259215,0.26255664,0.1059299,0.03137582,0.01917607,0.021511966
136_907794,0.9999809,0.9411167,0.39734766,0.22723266,0.19413413,0.12709205,0.19715582,0.15093003,0.028480247,0.01720836
136_1295741,0.9999809,0.9460382,0.82960546,0.7518291,0.52601254,0.33387202,0.08404134,0.03098196,0.015626771,0.0073349313
136_1240220,0.9999809,0.9411167,0.7061453,0.34627897,0.5690261,0.39944938,0.23319575,0.13832556,0.0446363,0.0328486
136_1331037,0.9999809,0.936766,0.8693979,0.77623016,0.65627307,0.4581373,0.25877824,0.07715398,0.022698924,0.006777043
140_906828,0.99998415,0.93112963,0.90255696,0.97019684,0.8887178,0.784854,0.4110501,0.26572523,0.07505879,0.06227239
140_910688,0.99998415,0.9416906,0.912743,0.9087192,0.86329025,0.71677536,0.2468426,0.0753656,0.05604744,0.05067017
