DRUG_COSMICID,pred_norm_cells_0,pred_norm_cells_1,pred_norm_cells_2,pred_norm_cells_3,pred_norm_cells_4,pred_norm_cells_5,pred_norm_cells_6,pred_norm_cells_7,pred_norm_cells_8,pred_norm_cells_9
200_687819,0.9997966733333333,0.9635244833333334,0.8433197666666666,0.7402699500000001,0.5437992933333332,0.4201165466666666,0.31876118,0.29287419333333337,0.2593274566666666,0.23384257
1012_753594,0.9997966733333333,0.9490240999999999,0.9020190633333334,0.8290132,0.7006183,0.5440425833333333,0.3917232666666666,0.2888344,0.18209225666666665,0.16110867166666668
1024_905965,0.9997966733333333,0.9511604433333334,0.8834801533333333,0.7874062500000001,0.6651524666666667,0.52753432,0.39996303000000005,0.2838489633333333,0.20322237666666665,0.17535612166666667
1149_1247871,0.9997966733333333,0.9471482,0.8791244166666666,0.7743124933333334,0.6210312133333333,0.47259817,0.3259100066666667,0.20775487333333334,0.15256514333333335,0.13521026866666666
173_907280,0.9997966733333333,0.9538436566666667,0.9017201333333333,0.8143723333333334,0.7185642833333333,0.6097073966666666,0.46614364666666663,0.32156476333333334,0.23421797666666666,0.19915599333333334
53_1330982,0.9997966733333333,0.94407548,0.8797431666666666,0.7602654033333334,0.6271045000000001,0.43741789666666664,0.30599356666666666,0.20884793,0.134220215,0.11326650333333332
180_905955,0.9997966733333333,0.9501613366666667,0.8743196533333334,0.7714808666666667,0.6765692566666667,0.54262392,0.3975401766666667,0.31017669666666664,0.27755024,0.25372933000000003
167_753576,0.9997966733333333,0.9535780133333334,0.8866161966666667,0.7923781999999999,0.65431339,0.50687313,0.3920597033333333,0.31959188666666666,0.24394170666666662,0.21940832000000002
182_722058,0.9997966733333333,0.94852728,0.8752641033333334,0.79764751,0.6823533999999999,0.5541362233333333,0.37949762,0.28084806333333334,0.22170718,0.20058987333333334
200_909756,0.9997966733333333,0.9548450433333334,0.8896843133333334,0.8329801166666667,0.69908895,0.5491714466666666,0.3978233066666667,0.28762923333333335,0.19180710999999998,0.16894425999999999
274_1303900,0.9997966733333333,0.9422418633333334,0.8717873833333334,0.7682782766666666,0.6442043666666667,0.49709234,0.32594971999999994,0.25994816,0.21104464666666667,0.19334416000000001
1031_909738,0.9997966733333333,0.9566367533333334,0.8638813000000001,0.7600011333333333,0.6615037133333334,0.5516866733333333,0.37773362000000005,0.2956237466666667,0.22847623333333333,0.18803689
201_713899,0.9997966733333333,0.9522836333333333,0.9002360366666666,0.8061162199999999,0.6951308133333334,0.4974962333333333,0.36674688333333333,0.2630420866666667,0.18438387999999997,0.16354101
200_906869,0.9997966733333333,0.94658638,0.8577338,0.7378067100000001,0.6208017933333334,0.5312514899999999,0.4130787933333333,0.3225713266666667,0.24386433333333335,0.22778204999999999
273_907058,0.9997966733333333,0.9623022466666667,0.8915717866666667,0.8244275633333333,0.7269578333333334,0.5879378000000001,0.4328087666666667,0.3177899533333333,0.18734667666666668,0.17177647333333335
308_1503361,0.9997966733333333,0.9540480100000001,0.8730244033333334,0.77222702,0.6477744333333333,0.5282792466666667,0.37614285,0.30165196333333333,0.2305824066666667,0.21790522
182_1240154,0.9997966733333333,0.9485167333333333,0.8813912866666667,0.7885047,0.6290474333333332,0.5302784933333333,0.36373492,0.21275283333333336,0.13315395333333332,0.11326119833333333
170_909260,0.9997966733333333,0.9500001133333335,0.8906057500000001,0.79914992,0.6637715166666667,0.5237661533333334,0.34432118333333334,0.24833637333333333,0.16101455133333334,0.129581713
179_907277,0.9997966733333333,0.9487129866666666,0.8881507966666667,0.7447743099999999,0.62096245,0.47020952666666666,0.31047715333333337,0.23868388333333335,0.15659954,0.14639490333333333
229_1323913,0.9997966733333333,0.94554289,0.8920955300000001,0.78503481,0.6124055966666667,0.47419295666666667,0.3838731233333334,0.24102225999999996,0.16137858666666668,0.14270101
201_909761,0.9997966733333333,0.95125893,0.88499622,0.8052155966666668,0.6763157533333334,0.5359609033333333,0.4256775666666666,0.32087335,0.26802806,0.24980409999999997
200_1240160,0.9997966733333333,0.9490616933333333,0.9036668,0.7825905000000001,0.6197565466666667,0.5397322066666667,0.3575058566666667,0.25071875,0.15846150333333334,0.14148318666666668
276_909256,0.9997966733333333,0.9561082533333334,0.8932283766666665,0.7864216466666667,0.6298967866666667,0.46975409333333334,0.35153623333333334,0.26608568,0.15291660666666665,0.12868523866666667
203_949166,0.9997966733333333,0.9559474666666667,0.8959330433333333,0.8288537833333334,0.7303582633333333,0.5946203966666667,0.44407543666666666,0.3523038733333333,0.25249450999999995,0.22422123666666663
133_1240216,0.9997966733333333,0.9552448766666667,0.8668822333333334,0.8157447033333334,0.6925709433333332,0.6115383133333333,0.4987979333333334,0.32077507000000005,0.2551652566666666,0.220431955
346_753556,0.9997966733333333,0.9471785166666665,0.8644965466666665,0.7912525666666665,0.6556070133333334,0.5327074233333333,0.37468277333333333,0.28430067333333336,0.20800730166666667,0.1814670766666667
1004_907799,0.9997966733333333,0.9496785566666667,0.8753842333333334,0.7684510000000001,0.68894901,0.5494184866666666,0.36911385999999996,0.2283855466666667,0.16410373333333333,0.14639313099999998
167_724834,0.9997966733333333,0.9559805666666668,0.9009307999999999,0.8310231033333334,0.7006917833333333,0.56825051,0.44296520999999994,0.3476831333333333,0.30547105,0.2794747633333334
346_753538,0.9997966733333333,0.9504667333333333,0.8734068466666667,0.7548980566666668,0.6370889833333333,0.51133129,0.3613211266666667,0.26706344,0.196968,0.17640148666666666
235_910687,0.9997966733333333,0.94667958,0.8878820333333333,0.7328950466666666,0.5739791433333333,0.41943054,0.34218239,0.23435318333333333,0.13214535866666666,0.12441214500000002
157_1322218,0.9997966733333333,0.9507955333333333,0.8797962133333334,0.7931810466666667,0.6768041666666665,0.5451520833333333,0.4209187566666666,0.31050823666666666,0.20736935999999997,0.18239925
194_924238,0.9997966733333333,0.9463228566666667,0.8742723633333332,0.8026756733333333,0.6927126600000001,0.56647904,0.42307563,0.32033100999999997,0.24553404666666667,0.20053662333333336
170_753608,0.9997966733333333,0.9492957166666667,0.8787236033333333,0.8072447766666667,0.6866293233333334,0.5698534666666667,0.39846241,0.28431329666666666,0.20277794666666668,0.17893384
228_909743,0.9997966733333333,0.9507774466666667,0.8900385100000001,0.7631217599999999,0.6012635866666667,0.49035647666666665,0.39815501999999997,0.2934766,0.22445026333333332,0.20705879333333335
172_906833,0.9997966733333333,0.9541729233333335,0.7730421500000001,0.7067349033333334,0.53953832,0.4295602733333333,0.32841528000000003,0.27144700666666666,0.210417568,0.19815218666666667
274_1240166,0.9997966733333333,0.9516308099999998,0.8697028800000001,0.7446288466666667,0.5751593333333334,0.47732072,0.37999252000000006,0.2596235266666667,0.19439037666666667,0.16882593999999998
302_753539,0.9997966733333333,0.9512630999999999,0.8853961666666667,0.7896203566666666,0.6691217533333335,0.5426694733333334,0.40803934000000003,0.28850625,0.20589987666666668,0.18499121333333335
274_1330941,0.9997966733333333,0.9466631466666667,0.8965808333333333,0.8435309533333334,0.76906876,0.6464486333333334,0.47798312000000004,0.3520068333333333,0.22655821666666667,0.21508867666666664
273_907287,0.9997966733333333,0.9563798200000001,0.8766300666666668,0.81372153,0.74394862,0.6515826166666666,0.5147803666666667,0.34594424333333335,0.25268833,0.2218599
203_1331033,0.9997966733333333,0.9473453133333334,0.7762852200000001,0.6154930200000001,0.47659241666666663,0.3794946366666667,0.27209158666666666,0.21534340333333332,0.15140396,0.14099765833333333
86_749713,0.9997966733333333,0.9629961000000001,0.8920189133333333,0.8014758,0.6780235633333334,0.5212546233333334,0.37962813999999995,0.27123252666666664,0.22663766,0.19611794666666668
159_906854,0.9997966733333333,0.95237249,0.89046561,0.7920742633333333,0.6795820333333333,0.5174055366666667,0.42624384,0.30399803333333336,0.22177034000000004,0.18952492666666668
273_909784,0.9997966733333333,0.9519555866666667,0.9050944333333334,0.8477561000000001,0.7700906366666667,0.6546592033333334,0.42970497,0.32397360999999997,0.22159473,0.18707097333333333
1031_1298475,0.9997966733333333,0.9510571533333333,0.8871186133333334,0.78376872,0.6473368,0.54155388,0.39965096,0.29339765333333334,0.22519652333333331,0.20222976333333334
165_909759,0.9997966733333333,0.9488338466666667,0.8877652,0.7893050833333333,0.6650209166666667,0.5560771266666668,0.43142555,0.32236875333333337,0.2373798933333333,0.20186878
9_907053,0.9997966733333333,0.9461578999999999,0.8939834666666666,0.8007823100000001,0.6957568099999999,0.5426897666666667,0.3637857566666667,0.22322011333333336,0.15151874333333334,0.12053177733333335
200_908125,0.9997966733333333,0.9493642633333333,0.8564706666666666,0.7822688833333333,0.6488733333333334,0.5402120533333333,0.3956475333333333,0.3073157866666667,0.19032885,0.16329224
167_909700,0.9997966733333333,0.9525925966666667,0.8967624166666667,0.7963145800000001,0.6691892833333334,0.5169729866666667,0.38546291,0.2743522033333334,0.20460897,0.1786116666666667
41_687799,0.9997966733333333,0.9509505633333334,0.84318292,0.8215581133333334,0.5928920166666667,0.5194398666666666,0.34455623,0.24354460999999997,0.18683671666666668,0.17303137
53_1297447,0.9997966733333333,0.9523593566666667,0.8969269366666666,0.8071534133333333,0.6818697,0.5636430666666666,0.38898181333333337,0.28777606,0.21406443,0.17523251533333337
60_1327768,0.9997966733333333,0.9515058466666667,0.8944863833333333,0.7993647266666667,0.6920251666666667,0.50841554,0.3725126,0.25577089000000003,0.17915442,0.15024139133333334
272_688006,0.9997966733333333,0.9543051533333333,0.9028890500000001,0.7965972899999999,0.6339077,0.49927011000000004,0.38745838999999993,0.27910362333333333,0.19071956666666667,0.16524614333333332
201_753548,0.9997966733333333,0.9444335566666666,0.9001018633333334,0.8064065666666665,0.7062178333333332,0.5230341,0.322476,0.21081501333333333,0.160761535,0.13721231666666667
344_1524416,0.9997966733333333,0.9509391666666667,0.8810219533333333,0.8118184066666667,0.7109708833333334,0.5779683366666667,0.4249390933333334,0.3071122,0.21285763666666668,0.19953561
235_907268,0.9997966733333333,0.9496475466666667,0.8937418166666666,0.8005936199999999,0.6859477100000001,0.5469520266666666,0.40823245999999996,0.29937737999999997,0.21923469666666665,0.19423764000000002
88_1330985,0.9997966733333333,0.9503561533333333,0.9003132666666668,0.80755275,0.7101612866666667,0.5591164866666666,0.39258662666666666,0.24256789466666664,0.19626974666666666,0.16729449666666665
182_910903,0.9997966733333333,0.9498519433333333,0.8744542466666667,0.7445084066666666,0.6538956133333332,0.49311786333333335,0.3818251666666666,0.27264733,0.1864670216666667,0.16784903799999998
170_907271,0.9997966733333333,0.9453882766666667,0.88750371,0.77221477,0.7145167566666667,0.6435736166666667,0.46711377000000004,0.37075086333333335,0.2516516,0.23513684666666665
201_906793,0.9997966733333333,0.9535576333333333,0.8495140533333334,0.7089142,0.57749068,0.4571461333333333,0.36066563333333335,0.25712642666666663,0.19112162,0.16421145666666667
167_1290806,0.9997966733333333,0.9475764166666667,0.87538876,0.8053878633333333,0.7278856666666668,0.57134254,0.44495116,0.33080027,0.2126408333333333,0.1920241
104_908149,0.9997966733333333,0.94858719,0.8845081233333335,0.7989763566666666,0.6775799566666668,0.5470836533333333,0.42292741,0.2734950333333333,0.19919900333333332,0.1630567
256_724872,0.9997966733333333,0.9515158066666666,0.9119526866666666,0.8502416199999999,0.7480535033333333,0.5847145333333333,0.45065542333333336,0.2831862033333334,0.19747769,0.17441376
157_907278,0.9997966733333333,0.9488138333333334,0.8940062666666666,0.7826522799999999,0.62847284,0.4459587933333333,0.3140503233333333,0.23326158100000002,0.17703723666666668,0.15132927766666665
179_910930,0.9997966733333333,0.9503280133333334,0.8860615966666666,0.7934108866666666,0.6923346933333333,0.5634500333333333,0.4302249633333333,0.24020873333333334,0.16910749666666666,0.14297226500000002
170_1330947,0.9997966733333333,0.9447637433333332,0.8974284200000001,0.79855251,0.6830440133333333,0.5003952500000001,0.31545987333333336,0.21666726,0.15364211666666666,0.12879227000000001
235_910853,0.9997966733333333,0.9512009166666667,0.8644577,0.7073893333333333,0.5541898,0.4535563166666667,0.31288156666666667,0.2517118813333334,0.17090802333333333,0.16370255866666666
180_910704,0.9997966733333333,0.9533840000000001,0.8896340500000001,0.7894439533333334,0.6421561466666666,0.5081792066666667,0.40454474999999995,0.30124079,0.25865801,0.23591250333333333
